date,sales
2022-01-01,209
2022-01-02,197
2022-01-03,213
2022-01-04,231
2022-01-05,197
2022-01-06,197
2022-01-07,234
2022-01-08,218
2022-01-09,194
2022-01-10,214
2022-01-11,195
2022-01-12,195
2022-01-13,209
2022-01-14,167
2022-01-15,171
2022-01-16,195
2022-01-17,186
2022-01-18,213
2022-01-19,189
2022-01-20,179
2022-01-21,237
2022-01-22,204
2022-01-23,210
2022-01-24,181
2022-01-25,199
2022-01-26,212
2022-01-27,188
2022-01-28,219
2022-01-29,199
2022-01-30,206
2022-01-31,200
2022-02-01,250
2022-02-02,213
2022-02-03,192
2022-02-04,230
2022-02-05,190
2022-02-06,219
2022-02-07,176
2022-02-08,189
2022-02-09,220
2022-02-10,231
2022-02-11,220
2022-02-12,215
2022-02-13,212
2022-02-14,188
2022-02-15,204
2022-02-16,210
2022-02-17,240
2022-02-18,226
2022-02-19,185
2022-02-20,227
2022-02-21,213
2022-02-22,208
2022-02-23,234
2022-02-24,243
2022-02-25,241
2022-02-26,206
2022-02-27,217
2022-02-28,230
2022-03-01,243
2022-03-02,215
2022-03-03,221
2022-03-04,203
2022-03-05,201
2022-03-06,242
2022-03-07,253
2022-03-08,225
2022-03-09,247
2022-03-10,234
2022-03-11,215
2022-03-12,235
2022-03-13,259
2022-03-14,228
2022-03-15,260
2022-03-16,177
2022-03-17,246
2022-03-18,232
2022-03-19,224
2022-03-20,232
2022-03-21,191
2022-03-22,227
2022-03-23,239
2022-03-24,262
2022-03-25,222
2022-03-26,216
2022-03-27,223
2022-03-28,252
2022-03-29,240
2022-03-30,223
2022-03-31,244
2022-04-01,236
2022-04-02,254
2022-04-03,221
2022-04-04,229
2022-04-05,228
2022-04-06,207
2022-04-07,242
2022-04-08,242
2022-04-09,237
2022-04-10,232
2022-04-11,209
2022-04-12,229
2022-04-13,231
2022-04-14,222
2022-04-15,235
2022-04-16,247
2022-04-17,277
2022-04-18,243
2022-04-19,245
2022-04-20,238
2022-04-21,202
2022-04-22,240
2022-04-23,242
2022-04-24,290
2022-04-25,237
2022-04-26,247
2022-04-27,241
2022-04-28,218
2022-04-29,265
2022-04-30,257
2022-05-01,258
2022-05-02,224
2022-05-03,271
2022-05-04,215
2022-05-05,255
2022-05-06,287
2022-05-07,224
2022-05-08,233
2022-05-09,246
2022-05-10,234
2022-05-11,213
2022-05-12,246
2022-05-13,224
2022-05-14,255
2022-05-15,227
2022-05-16,276
2022-05-17,230
2022-05-18,239
2022-05-19,262
2022-05-20,221
2022-05-21,251
2022-05-22,273
2022-05-23,214
2022-05-24,250
2022-05-25,252
2022-05-26,263
2022-05-27,222
2022-05-28,221
2022-05-29,258
2022-05-30,253
2022-05-31,253
2022-06-01,255
2022-06-02,234
2022-06-03,253
2022-06-04,254
2022-06-05,234
2022-06-06,286
2022-06-07,258
2022-06-08,225
2022-06-09,262
2022-06-10,229
2022-06-11,264
2022-06-12,272
2022-06-13,232
2022-06-14,268
2022-06-15,257
2022-06-16,265
2022-06-17,287
2022-06-18,244
2022-06-19,234
2022-06-20,231
2022-06-21,233
2022-06-22,248
2022-06-23,256
2022-06-24,255
2022-06-25,266
2022-06-26,250
2022-06-27,279
2022-06-28,244
2022-06-29,304
2022-06-30,262
2022-07-01,232
2022-07-02,228
2022-07-03,259
2022-07-04,245
2022-07-05,264
2022-07-06,259
2022-07-07,248
2022-07-08,233
2022-07-09,219
2022-07-10,240
2022-07-11,266
2022-07-12,254
2022-07-13,224
2022-07-14,253
2022-07-15,257
2022-07-16,231
2022-07-17,252
2022-07-18,250
2022-07-19,226
2022-07-20,256
2022-07-21,260
2022-07-22,270
2022-07-23,270
2022-07-24,221
2022-07-25,230
2022-07-26,259
2022-07-27,259
2022-07-28,259
2022-07-29,325
2022-07-30,260
2022-07-31,271
2022-08-01,267
2022-08-02,261
2022-08-03,241
2022-08-04,263
2022-08-05,232
2022-08-06,243
2022-08-07,237
2022-08-08,249
2022-08-09,293
2022-08-10,209
2022-08-11,260
2022-08-12,214
2022-08-13,237
2022-08-14,268
2022-08-15,247
2022-08-16,224
2022-08-17,231
2022-08-18,259
2022-08-19,231
2022-08-20,250
2022-08-21,246
2022-08-22,232
2022-08-23,288
2022-08-24,257
2022-08-25,204
2022-08-26,248
2022-08-27,231
2022-08-28,261
2022-08-29,228
2022-08-30,241
2022-08-31,253
2022-09-01,260
2022-09-02,219
2022-09-03,236
2022-09-04,233
2022-09-05,229
2022-09-06,277
2022-09-07,250
2022-09-08,216
2022-09-09,259
2022-09-10,283
2022-09-11,261
2022-09-12,210
2022-09-13,230
2022-09-14,265
2022-09-15,225
2022-09-16,248
2022-09-17,254
2022-09-18,220
2022-09-19,237
2022-09-20,173
2022-09-21,217
2022-09-22,233
2022-09-23,212
2022-09-24,270
2022-09-25,208
2022-09-26,228
2022-09-27,239
2022-09-28,265
2022-09-29,207
2022-09-30,259
2022-10-01,235
2022-10-02,215
2022-10-03,244
2022-10-04,238
2022-10-05,222
2022-10-06,235
2022-10-07,225
2022-10-08,235
2022-10-09,246
2022-10-10,264
2022-10-11,207
2022-10-12,274
2022-10-13,192
2022-10-14,228
2022-10-15,242
2022-10-16,236
2022-10-17,217
2022-10-18,225
2022-10-19,219
2022-10-20,217
2022-10-21,245
2022-10-22,235
2022-10-23,214
2022-10-24,245
2022-10-25,233
2022-10-26,243
2022-10-27,239
2022-10-28,209
2022-10-29,214
2022-10-30,240
2022-10-31,237
2022-11-01,224
2022-11-02,226
2022-11-03,249
2022-11-04,212
2022-11-05,234
2022-11-06,219
2022-11-07,218
2022-11-08,244
2022-11-09,238
2022-11-10,237
2022-11-11,247
2022-11-12,221
2022-11-13,233
2022-11-14,213
2022-11-15,226
2022-11-16,216
2022-11-17,220
2022-11-18,230
2022-11-19,201
2022-11-20,259
2022-11-21,197
2022-11-22,192
2022-11-23,239
2022-11-24,231
2022-11-25,228
2022-11-26,227
2022-11-27,214
2022-11-28,196
2022-11-29,215
2022-11-30,199
2022-12-01,232
2022-12-02,209
2022-12-03,195
2022-12-04,205
2022-12-05,219
2022-12-06,199
2022-12-07,194
2022-12-08,215
2022-12-09,214
2022-12-10,199
2022-12-11,199
2022-12-12,213
2022-12-13,179
2022-12-14,179
2022-12-15,192
2022-12-16,202
2022-12-17,212
2022-12-18,235
2022-12-19,222
2022-12-20,201
2022-12-21,204
2022-12-22,184
2022-12-23,203
2022-12-24,197
2022-12-25,209
2022-12-26,185
2022-12-27,212
2022-12-28,232
2022-12-29,198
2022-12-30,208
2022-12-31,214
2023-01-01,191
2023-01-02,203
2023-01-03,199
2023-01-04,200
2023-01-05,182
2023-01-06,198
2023-01-07,207
2023-01-08,225
2023-01-09,215
2023-01-10,239
2023-01-11,180
2023-01-12,212
2023-01-13,198
2023-01-14,238
2023-01-15,177
2023-01-16,176
2023-01-17,181
2023-01-18,150
2023-01-19,181
2023-01-20,176
2023-01-21,194
2023-01-22,197
2023-01-23,227
2023-01-24,209
2023-01-25,178
2023-01-26,171
2023-01-27,198
2023-01-28,161
2023-01-29,224
2023-01-30,211
2023-01-31,177
2023-02-01,152
2023-02-02,213
2023-02-03,183
2023-02-04,210
2023-02-05,153
2023-02-06,172
2023-02-07,184
2023-02-08,184
2023-02-09,174
2023-02-10,195
2023-02-11,161
2023-02-12,179
2023-02-13,184
2023-02-14,191
2023-02-15,195
2023-02-16,158
2023-02-17,149
2023-02-18,205
2023-02-19,186
2023-02-20,164
2023-02-21,209
2023-02-22,180
2023-02-23,201
2023-02-24,178
2023-02-25,218
2023-02-26,211
2023-02-27,171
2023-02-28,195
2023-03-01,188
2023-03-02,202
2023-03-03,155
2023-03-04,188
2023-03-05,195
2023-03-06,138
2023-03-07,149
2023-03-08,132
2023-03-09,167
2023-03-10,186
2023-03-11,201
2023-03-12,173
2023-03-13,203
2023-03-14,143
2023-03-15,136
2023-03-16,169
2023-03-17,177
2023-03-18,168
2023-03-19,127
2023-03-20,166
2023-03-21,142
2023-03-22,181
2023-03-23,175
2023-03-24,148
2023-03-25,156
2023-03-26,145
2023-03-27,165
2023-03-28,185
2023-03-29,146
2023-03-30,175
2023-03-31,154
2023-04-01,149
2023-04-02,162
2023-04-03,143
2023-04-04,152
2023-04-05,139
2023-04-06,202
2023-04-07,163
2023-04-08,148
2023-04-09,166
2023-04-10,160
2023-04-11,157
2023-04-12,173
2023-04-13,176
2023-04-14,150
2023-04-15,149
2023-04-16,155
2023-04-17,114
2023-04-18,129
2023-04-19,187
2023-04-20,192
2023-04-21,154
2023-04-22,170
2023-04-23,165
2023-04-24,220
2023-04-25,180
2023-04-26,155
2023-04-27,138
2023-04-28,125
2023-04-29,161
2023-04-30,142
2023-05-01,128
2023-05-02,143
2023-05-03,134
2023-05-04,190
2023-05-05,173
2023-05-06,155
2023-05-07,185
2023-05-08,157
2023-05-09,138
2023-05-10,185
2023-05-11,165
2023-05-12,134
